Image,Instance_ID,Area_pixels,Perimeter_pixels,Width_pixels,Height_pixels,Bounding_Box_Area,Min_Enclosing_Circle_Radius,Min_Enclosing_Circle_Area,Min_Area_Rect_Area,Centroid_X,Centroid_Y,Circularity,Compactness,Aspect_Ratio,Rectangularity,Circle_Ratio,Convexity,Solidity,Shape_Complexity,Hull_Area,Hull_Perimeter,Major_Axis,Minor_Axis,Eccentricity,Ellipse_Ratio,Max_Inscribed_Circle_Radius,Mean_Distance_to_Boundary,Std_Distance_to_Boundary,Skeleton_Length,Branch_Points,End_Points,Mean_Intensity,Std_Intensity,Min_Intensity,Max_Intensity,Intensity_Range
1,11,442.5,79.01219260692596,26,24,624,12.848752975463867,518.6469543995536,560.9998993700792,812.8058471679688,705.9514770507812,0.890707094678104,1.1227035306835562,1.0833333333333333,0.7091346153846154,0.8531815259809822,0.9768211920529801,0.9768211920529801,1.0367716322225573,453.0,76.20983266830444,25.053342819213867,22.584436416625977,0.43287488138827934,0.9957457354297743,11.587599,4.378337,2.7668517,1,0,0,1.0,0.0,1,1,0
1,12,1535.0,146.71067690849304,43,47,2021,23.790006637573242,1778.02965092009,1932.0,579.0518798828125,229.75265502929688,0.8961790806910978,1.115848407473247,0.9148936170212766,0.7595249876298862,0.8633151866762584,0.9861869579184067,0.9861869579184067,1.039026773163797,1556.5,141.20009291172028,46.772247314453125,41.9761848449707,0.4410974254598798,0.9954679851187098,21.172096,7.6932225,5.1062546,13,0,2,1.0,0.0,1,1,0
1,13,210.0,55.455843687057495,17,18,306,8.778820037841797,242.1152612656024,272.0,199.87930297851562,823.7069091796875,0.8580933275823307,1.165374403758027,0.9444444444444444,0.6862745098039216,0.8673554855744029,0.963302752293578,0.963302752293578,1.0472614441427717,218.0,52.95319902896881,16.709575653076172,16.137529373168945,0.2594171665255797,0.9915781463299495,8.3938,3.1969986,1.9176705,1,0,0,1.0,0.0,1,1,0
1,14,368.5,72.5269113779068,22,23,506,11.409953117370605,408.9946174823669,462.0,494.75372314453125,509.1865539550781,0.8803370704801405,1.135928536389584,0.9565217391304348,0.7282608695652174,0.9009898523074995,0.9722955145118733,0.9722955145118733,1.041917396734744,379.0,69.60907995700836,22.221803665161133,21.228012084960938,0.2957074865290326,0.9946241008183453,10.596899,4.052617,2.537826,2,0,2,1.0,0.0,1,1,0
1,15,340.0,69.11269783973694,21,22,462,11.107669830322266,387.610735370664,420.0,492.2096862792969,89.20967864990234,0.8944850549461454,1.1179616634961076,0.9545454545454546,0.7359307359307359,0.877168687484533,0.975609756097561,0.975609756097561,1.0321072292004594,348.5,66.96271073818207,21.418216705322266,20.29410171508789,0.3197085316006442,0.9959462359000576,10.5907,3.9466732,2.4486923,1,0,0,1.0,0.0,1,1,0
1,16,443.5,79.01219260692596,25,25,625,13.10290813446045,539.3681096068093,558.0000358599646,420.3571472167969,30.64285659790039,0.8927199920672072,1.1201720683821277,1.0,0.7096,0.8222584763554234,0.980110497237569,0.980110497237569,1.0310108550815822,452.5,76.6356554031372,25.921010971069336,21.987123489379883,0.529619126854754,0.9907940533171118,11.199999,4.34515,2.7106392,5,0,2,1.0,0.0,1,1,0
1,17,466.5,81.01219260692596,25,26,650,12.8859281539917,521.6524889646722,594.9999808141292,500.377685546875,215.4352569580078,0.8932247308717535,1.1195390873515536,0.9615384615384616,0.7176923076923077,0.8942735055781411,0.9779874213836478,0.9779874213836478,1.0357215076465822,477.0,78.21812331676483,25.055194854736328,23.872032165527344,0.3036685037473758,0.9930579468120695,11.996899,4.474419,2.8304138,4,0,2,1.0,0.0,1,1,0
1,18,582.5,90.66904675960541,28,29,812,14.374173164367676,649.1059911344639,740.9998844423972,1005.5565185546875,495.6327819824219,0.8904052131408969,1.1230841702650285,0.9655172413793104,0.7173645320197044,0.8973881121971244,0.9765297569153395,0.9765297569153395,1.0385037082379966,596.5,87.30738854408264,27.683761596679688,26.921358108520508,0.23306873471706627,0.995139540507558,13.181398,4.953088,3.1722593,3,0,2,1.0,0.0,1,1,0
1,19,272.5,61.69848430156708,19,20,380,10.314014434814453,334.1991511383288,342.0,562.22412109375,816.22412109375,0.8995542924671761,1.1116616399632033,0.95,0.7171052631578947,0.8153820830239308,0.9819819819819819,0.9819819819819819,1.0279417071280217,277.5,60.02138435840607,20.20577049255371,17.277509689331055,0.5184993973763984,0.9938482201849079,9.196899,3.5519748,2.1482751,4,0,2,1.0,0.0,1,1,0
1,20,267.0,61.455843687057495,19,19,361,10.000100135803223,314.16555710855596,324.0,118.0,422.0,0.8883717814153733,1.1256548450996249,1.0,0.739612188365651,0.8498703755349651,0.9762340036563071,0.9762340036563071,1.0336875472798996,273.5,59.453017354011536,19.314380645751953,17.73527717590332,0.3960195340042627,0.992436237500893,9.0,3.5286195,2.1383388,3,0,2,1.0,0.0,1,1,0
1,21,274.5,62.870057225227356,17,22,374,11.236202239990234,396.63311212729377,336.0,575.0,842.5,0.8726990465865125,1.14587039359263,0.7727272727272727,0.733957219251337,0.6920753502594688,0.9838709677419355,0.9838709677419355,1.022202260235537,279.0,61.504517912864685,22.154212951660156,15.994041442871094,0.6919542975981063,0.9863656155944069,8.5907,3.4703205,2.0476112,5,0,2,1.0,0.0,1,1,0
1,22,232.5,57.69848430156708,19,18,342,9.118247985839844,261.1996985958089,299.9999863596895,962.0,152.625,0.8776149481890613,1.1394518770030952,1.0555555555555556,0.6798245614035088,0.8901235386177838,0.9647302904564315,0.9647302904564315,1.0382263799138736,241.0,55.57408809661865,17.68461036682129,16.870609283447266,0.2998981762123815,0.9922173403851616,8.7876,3.3308158,2.022305,1,0,0,1.0,0.0,1,1,0
1,23,1137.0,128.22539567947388,40,39,1560,20.14560317993164,1275.0006993151906,1452.138134761015,678.7154541015625,552.8598022460938,0.8690049152970994,1.1507414772885554,1.0256410256410255,0.7288461538461538,0.8917642167652838,0.9722103463018384,0.9722103463018384,1.0452015880247392,1169.5,122.68006205558777,38.859710693359375,37.506072998046875,0.26163814624912574,0.9932748193946984,18.378298,6.624782,4.364981,9,0,2,1.0,0.0,1,1,0
1,24,461.5,80.18376553058624,24,26,624,13.069904327392578,536.65439416658,575.0,810.9000244140625,802.0999755859375,0.9020044384637582,1.1086419948255932,0.9230769230769231,0.7395833333333334,0.8599575537189178,0.9840085287846482,0.9840085287846482,1.0278213955767248,469.0,78.01332592964172,25.40256118774414,23.225704193115234,0.4050250019262174,0.9959451645262841,11.984499,4.4919724,2.8282716,3,0,2,1.0,0.0,1,1,0
1,25,280.5,64.87005722522736,21,19,399,10.788542747497559,365.65830866898546,360.0,444.4345703125,7.8177571296691895,0.8376337497649264,1.1938391931803607,1.105263157894737,0.7030075187969925,0.7671096030089787,0.9655765920826161,0.9655765920826161,1.0403358358006085,290.5,62.35491943359375,20.28127670288086,18.088272094726562,0.4522908771122148,0.9735328524578077,9.390699,4.0555444,2.346213,3,0,2,1.0,0.0,1,1,0
1,26,391.0,74.76955199241638,23,24,552,12.215044975280762,468.7486321489247,506.0,682.370361328125,615.74072265625,0.8788951432094776,1.1377921561248838,0.9583333333333334,0.7083333333333334,0.834135767410147,0.9738480697384807,0.9738480697384807,1.0415321196336549,401.5,71.78804242610931,23.662384033203125,21.173728942871094,0.44641402892753507,0.9936444894140433,10.790699,4.1205797,2.5732858,4,0,2,1.0,0.0,1,1,0
